predefined N: 20
0,0,2.146	0,0,2.146
-0.8984032091774394,1.1283482369324698,2.146	-0.8984032091774394,1.1283482369324698,2.146
0.40302757472370954,-1.1638627131150379,2.146	0.40302757472370954,-1.1638627131150379,2.146
-0.9869832659564078,0.5701036222373868,2.146	-0.9869832659564078,0.5701036222373868,2.146
-1.1198079696256764,0.43548663962711687,2.146	-1.1198079696256764,0.43548663962711687,2.146
-0.4140864846438477,-0.4781888059004863,2.146	-0.4140864846438477,-0.4781888059004863,2.146
0.3025837023116329,-1.0337924460156456,2.146	0.3025837023116329,-1.0337924460156456,2.146
-0.18131583911173088,-1.1097281992533012,2.146	-0.18131583911173088,-1.1097281992533012,2.146
-1.1592029307608742,-0.8132741606510094,2.146	-1.1592029307608742,-0.8132741606510094,2.146
0.4283604126646985,-0.641717911436314,2.146	0.4283604126646985,-0.641717911436314,2.146
0.38519378155258344,-0.4336049536059965,2.146	0.38519378155258344,-0.4336049536059965,2.146
0.304720670854038,0.1288269438954195,2.146	0.304720670854038,0.1288269438954195,2.146
-1.0200770193437456,0.5927958220976814,2.146	-1.0200770193437456,0.5927958220976814,2.146
0.6678770146697104,-0.5715322466321664,2.146	0.6678770146697104,-0.5715322466321664,2.146
-0.2733197235315623,-0.41693967566959855,2.146	-0.2733197235315623,-0.41693967566959855,2.146
0.5242429064404166,-0.9753501673990478,2.146	0.5242429064404166,-0.9753501673990478,2.146
-1.1542805014601494,-1.0653621891415144,2.146	-1.1542805014601494,-1.0653621891415144,2.146
1.0261447040237999,-0.2707309808189786,2.146	1.0261447040237999,-0.2707309808189786,2.146
-0.5500861102083011,0.2413367163248732,2.146	-0.5500861102083011,0.2413367163248732,2.146
-0.6581809514318763,-0.13377781200108085,2.146	-0.6581809514318763,-0.13377781200108085,2.146
